title,amount,fromAccount,toAccount,date,description
Salary Payment,3500.00,Income,Main Bank Account,2025-06-01,Monthly salary deposit
Grocery Shopping,156.78,Main Bank Account,Food & Dining,2025-06-02,Weekly groceries at Whole Foods
Gas Station,45.50,Main Bank Account,Transportation,2025-06-03,Shell gas station fill-up
Coffee Shop,12.75,Main Bank Account,Food & Dining,2025-06-03,Morning coffee and pastry
Transfer to Savings,500.00,Main Bank Account,Savings Account,2025-06-04,Monthly savings transfer
Movie Tickets,28.00,Main Bank Account,Entertainment,2025-06-05,Cinema tickets for two
Uber Ride,18.45,Main Bank Account,Transportation,2025-06-06,Ride to downtown
Internet Bill,79.99,Main Bank Account,Bills & Utilities,2025-06-07,Monthly internet service
Freelance Work,750.00,Income,Main Bank Account,2025-06-08,Web design project payment
Restaurant Dinner,89.50,Main Bank Account,Food & Dining,2025-06-09,Dinner at Italian restaurant
Amazon Purchase,234.99,Main Bank Account,Shopping,2025-06-10,Electronics and books
Gym Membership,49.99,Main Bank Account,Healthcare,2025-06-11,Monthly gym membership
Pharmacy,23.45,Main Bank Account,Healthcare,2025-06-12,Prescription medication
Apartment Rent,1200.00,Main Bank Account,Other Expenses,2025-06-12,Monthly rent payment
Gas Bill,67.89,Main Bank Account,Bills & Utilities,2025-06-13,Monthly gas utility
Book Store,45.99,Main Bank Account,Shopping,2025-06-14,Programming books
Coffee Shop,8.25,Main Bank Account,Food & Dining,2025-06-15,Afternoon coffee
Side Gig Payment,320.00,Income,Main Bank Account,2025-06-15,Consulting work
Grocery Shopping,92.34,Main Bank Account,Food & Dining,2025-06-16,Weekly groceries
Gas Station,42.10,Main Bank Account,Transportation,2025-06-17,Chevron gas station
Streaming Service,15.99,Main Bank Account,Entertainment,2025-06-18,Netflix monthly subscription
Lunch Out,22.75,Main Bank Account,Food & Dining,2025-06-19,Business lunch meeting
Emergency Fund Transfer,200.00,Main Bank Account,Savings Account,2025-06-20,Emergency fund transfer
Electric Bill,134.56,Main Bank Account,Bills & Utilities,2025-06-20,Monthly electricity
Doctor Visit,150.00,Main Bank Account,Healthcare,2025-06-21,Annual checkup
